データ,ランク系特殊能力,カテゴリ,出現数,出現率%
実在12球団,回復E,ランク系,317,40.13
実在12球団,ケガしにくさE,ランク系,197,24.94
実在12球団,送球E,ランク系,120,15.19
実在12球団,ノビC,ランク系,111,14.05
実在12球団,走塁C,ランク系,109,13.8
実在12球団,回復C,ランク系,108,13.67
実在12球団,対左打者E,ランク系,104,13.16
実在12球団,対左投手E,ランク系,87,11.01
実在12球団,打たれ強さC,ランク系,84,10.63
実在12球団,チャンスC,ランク系,81,10.25
実在12球団,クイックE,ランク系,78,9.87
実在12球団,対左投手C,ランク系,74,9.37
実在12球団,回復F,ランク系,72,9.11
実在12球団,送球C,ランク系,71,8.99
実在12球団,盗塁E,ランク系,69,8.73
実在12球団,ノビE,ランク系,63,7.97
実在12球団,対ピンチC,ランク系,60,7.59
実在12球団,対左打者C,ランク系,60,7.59
実在12球団,対ピンチE,ランク系,56,7.09
実在12球団,チャンスE,ランク系,56,7.09
実在12球団,クイックC,ランク系,54,6.84
実在12球団,盗塁C,ランク系,54,6.84
実在12球団,ケガしにくさF,ランク系,53,6.71
実在12球団,ケガしにくさC,ランク系,48,6.08
実在12球団,打たれ強さE,ランク系,47,5.95
実在12球団,回復B,ランク系,45,5.7
実在12球団,走塁B,ランク系,45,5.7
実在12球団,ノビB,ランク系,34,4.3
実在12球団,打たれ強さB,ランク系,32,4.05
実在12球団,対左打者F,ランク系,31,3.92
実在12球団,対左投手F,ランク系,26,3.29
実在12球団,キャッチャーE,ランク系,23,2.91
実在12球団,送球B,ランク系,23,2.91
実在12球団,送球F,ランク系,22,2.78
実在12球団,ケガしにくさB,ランク系,21,2.66
実在12球団,盗塁F,ランク系,21,2.66
実在12球団,キャッチャーF,ランク系,19,2.41
実在12球団,対左投手B,ランク系,19,2.41
実在12球団,ノビF,ランク系,17,2.15
実在12球団,クイックB,ランク系,13,1.65
実在12球団,走塁E,ランク系,13,1.65
実在12球団,クイックF,ランク系,12,1.52
実在12球団,チャンスB,ランク系,11,1.39
実在12球団,対左打者B,ランク系,11,1.39
実在12球団,盗塁B,ランク系,10,1.27
実在12球団,ケガしにくさG,ランク系,7,0.89
実在12球団,ノビA,ランク系,7,0.89
実在12球団,対ピンチF,ランク系,7,0.89
実在12球団,キャッチャーC,ランク系,6,0.76
実在12球団,走塁A,ランク系,5,0.63
実在12球団,チャンスF,ランク系,4,0.51
実在12球団,打たれ強さF,ランク系,3,0.38
実在12球団,対ピンチB,ランク系,3,0.38
実在12球団,キャッチャーG,ランク系,2,0.25
実在12球団,ノビG,ランク系,2,0.25
実在12球団,ケガしにくさA,ランク系,2,0.25
実在12球団,キャッチャーB,ランク系,2,0.25
実在12球団,送球A,ランク系,2,0.25
実在12球団,クイックA,ランク系,1,0.13
実在12球団,打たれ強さA,ランク系,1,0.13
架空球団用,回復D,ランク系,5674,56.74
架空球団用,ケガしにくさD,ランク系,5560,55.6
架空球団用,送球D,ランク系,5159,51.59
架空球団用,対左投手D,ランク系,2832,28.32
架空球団用,打たれ強さD,ランク系,2753,27.53
架空球団用,クイックD,ランク系,2753,27.53
架空球団用,チャンスD,ランク系,2603,26.03
架空球団用,ノビD,ランク系,2451,24.51
架空球団用,対左打者D,ランク系,2354,23.54
架空球団用,対ピンチD,ランク系,2287,22.87
架空球団用,盗塁D,ランク系,1834,18.34
架空球団用,走塁D,ランク系,1819,18.19
架空球団用,ケガしにくさE,ランク系,1695,16.95
架空球団用,回復E,ランク系,1678,16.78
架空球団用,送球C,ランク系,1660,16.6
架空球団用,送球E,ランク系,1625,16.25
架空球団用,盗塁C,ランク系,1388,13.88
架空球団用,走塁C,ランク系,1378,13.78
架空球団用,ケガしにくさC,ランク系,1287,12.87
架空球団用,回復C,ランク系,1250,12.5
架空球団用,対左打者C,ランク系,1182,11.82
架空球団用,ノビC,ランク系,1065,10.65
架空球団用,対ピンチC,ランク系,993,9.93
架空球団用,チャンスE,ランク系,920,9.2
架空球団用,打たれ強さE,ランク系,889,8.89
架空球団用,対左投手E,ランク系,864,8.64
架空球団用,クイックE,ランク系,810,8.1
架空球団用,ノビE,ランク系,757,7.57
架空球団用,対ピンチE,ランク系,720,7.2
架空球団用,クイックC,ランク系,706,7.06
架空球団用,対左打者E,ランク系,702,7.02
架空球団用,送球B,ランク系,695,6.95
架空球団用,盗塁B,ランク系,673,6.73
架空球団用,チャンスC,ランク系,668,6.68
架空球団用,走塁B,ランク系,661,6.61
架空球団用,打たれ強さC,ランク系,647,6.47
架空球団用,対左投手C,ランク系,640,6.4
架空球団用,走塁E,ランク系,616,6.16
架空球団用,ケガしにくさF,ランク系,614,6.14
架空球団用,盗塁E,ランク系,596,5.96
架空球団用,回復F,ランク系,589,5.89
架空球団用,送球F,ランク系,540,5.4
架空球団用,対ピンチB,ランク系,530,5.3
架空球団用,ケガしにくさB,ランク系,517,5.17
架空球団用,回復B,ランク系,497,4.97
架空球団用,チャンスF,ランク系,349,3.49
架空球団用,対左打者B,ランク系,334,3.34
架空球団用,キャッチャーD,ランク系,317,3.17
架空球団用,対左投手F,ランク系,295,2.95
架空球団用,打たれ強さF,ランク系,291,2.91
架空球団用,ノビB,ランク系,290,2.9
架空球団用,クイックF,ランク系,290,2.9
架空球団用,クイックB,ランク系,287,2.87
架空球団用,打たれ強さB,ランク系,264,2.64
架空球団用,チャンスB,ランク系,262,2.62
架空球団用,ノビF,ランク系,255,2.55
架空球団用,走塁A,ランク系,247,2.47
架空球団用,対左打者F,ランク系,242,2.42
架空球団用,盗塁A,ランク系,235,2.35
架空球団用,対左投手B,ランク系,234,2.34
架空球団用,対ピンチF,ランク系,223,2.23
架空球団用,盗塁F,ランク系,212,2.12
架空球団用,走塁F,ランク系,211,2.11
架空球団用,ケガしにくさG,ランク系,206,2.06
架空球団用,回復G,ランク系,199,1.99
架空球団用,送球A,ランク系,170,1.7
架空球団用,対ピンチA,ランク系,166,1.66
架空球団用,送球G,ランク系,151,1.51
架空球団用,ケガしにくさA,ランク系,121,1.21
架空球団用,対左打者A,ランク系,119,1.19
架空球団用,チャンスG,ランク系,119,1.19
架空球団用,回復A,ランク系,113,1.13
架空球団用,クイックG,ランク系,107,1.07
架空球団用,キャッチャーE,ランク系,102,1.02
架空球団用,打たれ強さG,ランク系,98,0.98
架空球団用,ノビA,ランク系,96,0.96
架空球団用,対左投手G,ランク系,87,0.87
架空球団用,ノビG,ランク系,86,0.86
架空球団用,対ピンチG,ランク系,81,0.81
架空球団用,チャンスA,ランク系,79,0.79
架空球団用,キャッチャーC,ランク系,78,0.78
架空球団用,走塁G,ランク系,68,0.68
架空球団用,対左打者G,ランク系,67,0.67
架空球団用,盗塁G,ランク系,62,0.62
架空球団用,打たれ強さA,ランク系,58,0.58
架空球団用,対左投手A,ランク系,48,0.48
架空球団用,クイックA,ランク系,47,0.47
架空球団用,キャッチャーF,ランク系,44,0.44
架空球団用,キャッチャーB,ランク系,36,0.36
架空球団用,キャッチャーG,ランク系,7,0.07
架空球団用,キャッチャーA,ランク系,5,0.05
ドラフト候補用,回復D,ランク系,5686,56.86
ドラフト候補用,ケガしにくさD,ランク系,5579,55.79
ドラフト候補用,送球D,ランク系,5172,51.72
ドラフト候補用,打たれ強さD,ランク系,2847,28.47
ドラフト候補用,対左投手D,ランク系,2827,28.27
ドラフト候補用,クイックD,ランク系,2794,27.94
ドラフト候補用,チャンスD,ランク系,2629,26.29
ドラフト候補用,ノビD,ランク系,2437,24.37
ドラフト候補用,対左打者D,ランク系,2347,23.47
ドラフト候補用,対ピンチD,ランク系,2301,23.01
ドラフト候補用,盗塁D,ランク系,1948,19.48
ドラフト候補用,走塁D,ランク系,1892,18.92
ドラフト候補用,ケガしにくさE,ランク系,1743,17.43
ドラフト候補用,回復E,ランク系,1725,17.25
ドラフト候補用,送球E,ランク系,1619,16.19
ドラフト候補用,送球C,ランク系,1616,16.16
ドラフト候補用,走塁C,ランク系,1329,13.29
ドラフト候補用,盗塁C,ランク系,1325,13.25
ドラフト候補用,ケガしにくさC,ランク系,1304,13.04
ドラフト候補用,回復C,ランク系,1214,12.14
ドラフト候補用,対左打者C,ランク系,1168,11.68
ドラフト候補用,ノビC,ランク系,1049,10.49
ドラフト候補用,対ピンチC,ランク系,1032,10.32
ドラフト候補用,チャンスE,ランク系,883,8.83
ドラフト候補用,対左投手E,ランク系,867,8.67
ドラフト候補用,打たれ強さE,ランク系,851,8.51
ドラフト候補用,クイックE,ランク系,784,7.84
ドラフト候補用,ノビE,ランク系,768,7.68
ドラフト候補用,対左打者E,ランク系,740,7.4
ドラフト候補用,対ピンチE,ランク系,716,7.16
ドラフト候補用,クイックC,ランク系,711,7.11
ドラフト候補用,チャンスC,ランク系,696,6.96
ドラフト候補用,走塁B,ランク系,650,6.5
ドラフト候補用,送球B,ランク系,649,6.49
ドラフト候補用,対左投手C,ランク系,642,6.42
ドラフト候補用,盗塁B,ランク系,640,6.4
ドラフト候補用,打たれ強さC,ランク系,620,6.2
ドラフト候補用,走塁E,ランク系,605,6.05
ドラフト候補用,回復F,ランク系,602,6.02
ドラフト候補用,盗塁E,ランク系,591,5.91
ドラフト候補用,ケガしにくさF,ランク系,559,5.59
ドラフト候補用,送球F,ランク系,555,5.55
ドラフト候補用,ケガしにくさB,ランク系,525,5.25
ドラフト候補用,回復B,ランク系,487,4.87
ドラフト候補用,対ピンチB,ランク系,438,4.38
ドラフト候補用,キャッチャーD,ランク系,372,3.72
ドラフト候補用,ノビB,ランク系,343,3.43
ドラフト候補用,対左打者B,ランク系,334,3.34
ドラフト候補用,チャンスF,ランク系,319,3.19
ドラフト候補用,対左投手F,ランク系,315,3.15
ドラフト候補用,打たれ強さF,ランク系,298,2.98
ドラフト候補用,クイックB,ランク系,289,2.89
ドラフト候補用,対ピンチF,ランク系,282,2.82
ドラフト候補用,チャンスB,ランク系,279,2.79
ドラフト候補用,クイックF,ランク系,261,2.61
ドラフト候補用,ノビF,ランク系,249,2.49
ドラフト候補用,打たれ強さB,ランク系,240,2.4
ドラフト候補用,走塁A,ランク系,239,2.39
ドラフト候補用,対左打者F,ランク系,238,2.38
ドラフト候補用,盗塁A,ランク系,225,2.25
ドラフト候補用,走塁F,ランク系,224,2.24
ドラフト候補用,対左投手B,ランク系,222,2.22
ドラフト候補用,送球G,ランク系,216,2.16
ドラフト候補用,ケガしにくさG,ランク系,208,2.08
ドラフト候補用,盗塁F,ランク系,204,2.04
ドラフト候補用,回復G,ランク系,197,1.97
ドラフト候補用,送球A,ランク系,173,1.73
ドラフト候補用,対ピンチA,ランク系,165,1.65
ドラフト候補用,チャンスG,ランク系,125,1.25
ドラフト候補用,キャッチャーE,ランク系,109,1.09
ドラフト候補用,クイックG,ランク系,104,1.04
ドラフト候補用,打たれ強さG,ランク系,99,0.99
ドラフト候補用,対左打者A,ランク系,92,0.92
ドラフト候補用,対左投手G,ランク系,92,0.92
ドラフト候補用,回復A,ランク系,89,0.89
ドラフト候補用,キャッチャーC,ランク系,86,0.86
ドラフト候補用,ケガしにくさA,ランク系,82,0.82
ドラフト候補用,対左打者G,ランク系,81,0.81
ドラフト候補用,ノビA,ランク系,80,0.8
ドラフト候補用,ノビG,ランク系,74,0.74
ドラフト候補用,チャンスA,ランク系,69,0.69
ドラフト候補用,盗塁G,ランク系,67,0.67
ドラフト候補用,対ピンチG,ランク系,66,0.66
ドラフト候補用,走塁G,ランク系,61,0.61
ドラフト候補用,クイックA,ランク系,57,0.57
ドラフト候補用,打たれ強さA,ランク系,45,0.45
ドラフト候補用,対左投手A,ランク系,35,0.35
ドラフト候補用,キャッチャーF,ランク系,31,0.31
ドラフト候補用,キャッチャーB,ランク系,27,0.27
ドラフト候補用,キャッチャーG,ランク系,9,0.09
ドラフト候補用,キャッチャーA,ランク系,5,0.05
助っ人外国人用,ケガしにくさD,ランク系,5714,57.14
助っ人外国人用,回復D,ランク系,5572,55.72
助っ人外国人用,送球D,ランク系,5334,53.34
助っ人外国人用,打たれ強さD,ランク系,2803,28.03
助っ人外国人用,クイックD,ランク系,2786,27.86
助っ人外国人用,対左投手D,ランク系,2763,27.63
助っ人外国人用,チャンスD,ランク系,2453,24.53
助っ人外国人用,対左打者D,ランク系,2436,24.36
助っ人外国人用,対ピンチD,ランク系,2417,24.17
助っ人外国人用,ノビD,ランク系,2333,23.33
助っ人外国人用,走塁D,ランク系,1978,19.78
助っ人外国人用,盗塁D,ランク系,1956,19.56
助っ人外国人用,回復E,ランク系,1718,17.18
助っ人外国人用,ケガしにくさE,ランク系,1663,16.63
助っ人外国人用,送球C,ランク系,1559,15.59
助っ人外国人用,送球E,ランク系,1533,15.33
助っ人外国人用,走塁C,ランク系,1407,14.07
助っ人外国人用,盗塁C,ランク系,1397,13.97
助っ人外国人用,回復C,ランク系,1306,13.06
助っ人外国人用,ケガしにくさC,ランク系,1236,12.36
助っ人外国人用,ノビC,ランク系,1191,11.91
助っ人外国人用,対左打者C,ランク系,1026,10.26
助っ人外国人用,チャンスE,ランク系,947,9.47
助っ人外国人用,対左投手E,ランク系,922,9.22
助っ人外国人用,対ピンチC,ランク系,919,9.19
助っ人外国人用,打たれ強さE,ランク系,829,8.29
助っ人外国人用,クイックE,ランク系,809,8.09
助っ人外国人用,チャンスC,ランク系,777,7.77
助っ人外国人用,対左打者E,ランク系,738,7.38
助っ人外国人用,対ピンチE,ランク系,728,7.28
助っ人外国人用,クイックC,ランク系,705,7.05
助っ人外国人用,ノビE,ランク系,696,6.96
助っ人外国人用,送球B,ランク系,649,6.49
助っ人外国人用,盗塁E,ランク系,649,6.49
助っ人外国人用,打たれ強さC,ランク系,643,6.43
助っ人外国人用,対左投手C,ランク系,628,6.28
助っ人外国人用,回復F,ランク系,620,6.2
助っ人外国人用,ケガしにくさF,ランク系,605,6.05
助っ人外国人用,走塁E,ランク系,578,5.78
助っ人外国人用,送球F,ランク系,575,5.75
助っ人外国人用,走塁B,ランク系,567,5.67
助っ人外国人用,盗塁B,ランク系,556,5.56
助っ人外国人用,ケガしにくさB,ランク系,492,4.92
助っ人外国人用,回復B,ランク系,491,4.91
助っ人外国人用,対ピンチB,ランク系,468,4.68
助っ人外国人用,ノビB,ランク系,349,3.49
助っ人外国人用,チャンスF,ランク系,323,3.23
助っ人外国人用,対左打者B,ランク系,312,3.12
助っ人外国人用,チャンスB,ランク系,311,3.11
助っ人外国人用,打たれ強さF,ランク系,308,3.08
助っ人外国人用,クイックF,ランク系,306,3.06
助っ人外国人用,対左打者F,ランク系,301,3.01
助っ人外国人用,対左投手F,ランク系,295,2.95
助っ人外国人用,対左投手B,ランク系,263,2.63
助っ人外国人用,対ピンチF,ランク系,248,2.48
助っ人外国人用,打たれ強さB,ランク系,247,2.47
助っ人外国人用,クイックB,ランク系,244,2.44
助っ人外国人用,ノビF,ランク系,243,2.43
助っ人外国人用,キャッチャーD,ランク系,217,2.17
助っ人外国人用,盗塁F,ランク系,207,2.07
助っ人外国人用,走塁A,ランク系,205,2.05
助っ人外国人用,走塁F,ランク系,205,2.05
助っ人外国人用,回復G,ランク系,199,1.99
助っ人外国人用,盗塁A,ランク系,186,1.86
助っ人外国人用,ケガしにくさG,ランク系,182,1.82
助っ人外国人用,送球G,ランク系,177,1.77
助っ人外国人用,送球A,ランク系,173,1.73
助っ人外国人用,ノビA,ランク系,133,1.33
助っ人外国人用,対ピンチA,ランク系,128,1.28
助っ人外国人用,チャンスG,ランク系,121,1.21
助っ人外国人用,打たれ強さG,ランク系,114,1.14
助っ人外国人用,ケガしにくさA,ランク系,108,1.08
助っ人外国人用,対左打者A,ランク系,97,0.97
助っ人外国人用,回復A,ランク系,94,0.94
助っ人外国人用,クイックG,ランク系,93,0.93
助っ人外国人用,対ピンチG,ランク系,92,0.92
助っ人外国人用,対左打者G,ランク系,90,0.9
助っ人外国人用,対左投手G,ランク系,85,0.85
助っ人外国人用,キャッチャーE,ランク系,73,0.73
助っ人外国人用,チャンスA,ランク系,68,0.68
助っ人外国人用,キャッチャーC,ランク系,63,0.63
助っ人外国人用,走塁G,ランク系,60,0.6
助っ人外国人用,クイックA,ランク系,57,0.57
助っ人外国人用,打たれ強さA,ランク系,56,0.56
助っ人外国人用,ノビG,ランク系,55,0.55
助っ人外国人用,盗塁G,ランク系,49,0.49
助っ人外国人用,対左投手A,ランク系,44,0.44
助っ人外国人用,キャッチャーB,ランク系,25,0.25
助っ人外国人用,キャッチャーF,ランク系,22,0.22
助っ人外国人用,キャッチャーA,ランク系,8,0.08
助っ人外国人用,キャッチャーG,ランク系,6,0.06
